"Age","Gender","Weight_kg","Height_m","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration_hours","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake_liters","Workout_Frequency_days/week","Experience_Level","BMI"
56,1,88.3,1.71,180,157,60,1.69,1313,1,12.6,3.5,4,3,30.2
46,0,74.9,1.53,179,151,66,1.3,883,4,33.9,2.1,4,2,32
32,0,68.1,1.66,167,122,54,1.11,677,3,33.4,2.3,4,2,24.71
25,1,53.2,1.7,190,164,56,0.59,532,2,28.8,2.1,3,1,18.41
38,1,46.1,1.79,188,158,68,0.64,556,2,29.2,2.8,3,1,14.39
56,0,58,1.68,168,156,74,1.59,1116,4,15.5,2.7,5,3,20.55
36,1,70.3,1.72,174,169,73,1.49,1385,3,21.3,2.3,3,2,23.76
40,0,69.7,1.51,189,141,64,1.27,895,3,30.6,1.9,3,2,30.57
28,1,121.7,1.94,185,127,52,1.03,719,2,28.9,2.6,4,2,32.34
28,1,101.8,1.84,169,136,64,1.08,808,3,29.7,2.7,3,1,30.07
41,1,120.8,1.67,188,146,54,0.82,593,4,20.5,3,2,1,43.31
53,1,51.7,1.7,175,152,72,1.15,865,4,23.6,3.5,3,2,17.89
57,1,112.5,1.61,195,165,61,1.24,1013,3,22.1,2.7,3,2,43.4
41,1,94.5,2,179,136,69,1.18,794,4,27.6,3.7,3,1,23.62
20,1,117.7,1.81,196,161,54,1.35,1195,1,26.4,3.3,3,2,35.93
39,0,42.5,1.75,181,131,52,1.13,740,2,26.2,2.1,2,1,13.88
19,0,64,1.53,166,167,58,1.33,1111,4,29.8,2.3,3,2,27.34
41,0,43.8,1.77,182,165,58,1.19,884,3,31.9,1.6,3,1,13.98
47,0,66.8,1.75,199,146,56,1.13,742,2,32.8,2.5,3,2,21.81
55,0,75.2,1.67,188,167,51,1.37,1030,4,25.2,2.2,2,1,26.96
19,1,89,1.77,175,127,72,1.5,1048,2,28.9,3.7,4,2,28.41
38,1,71.9,1.77,197,142,72,1.12,875,3,25.7,3.1,2,1,22.95
50,0,71,1.68,187,161,70,1.17,848,1,33.1,2.5,2,1,25.16
29,1,120.9,1.78,197,168,65,0.78,721,1,28.1,3.4,2,1,38.16
39,0,64.3,1.69,190,148,58,1.25,925,4,26.9,1.9,4,2,22.51
42,0,63.7,1.71,173,169,62,1.42,1080,1,26.1,1.8,3,2,21.78
44,1,65.2,1.8,192,139,68,0.73,502,4,27.2,2.7,2,1,20.12
59,1,53.9,1.75,168,135,69,1.48,989,2,21.6,2.8,4,2,17.6
45,1,84.9,1.86,186,136,66,1.64,1104,4,14.2,3.5,5,3,24.54
33,0,78,1.68,183,135,55,1.29,871,4,32.3,1.8,3,2,27.64
32,1,108.2,1.8,172,138,53,1.27,964,4,28.4,3.5,3,1,33.4
20,0,65.4,1.52,185,127,50,1.03,654,1,28,2.2,4,2,28.31
54,0,50.2,1.61,188,157,67,1.48,1046,4,28.2,2.7,2,1,19.37
24,0,58.9,1.51,187,157,68,1.04,816,3,31.7,2.5,2,1,25.83
38,1,81.4,1.71,187,148,58,1.52,1237,4,10.2,3.5,5,3,27.84
26,1,127.6,1.73,167,160,62,1.32,1162,2,27.3,2.9,3,1,42.63
56,0,59.3,1.56,182,155,57,1.26,879,3,33.4,2.6,4,2,24.37
35,1,96.9,1.71,188,145,72,1.34,1069,2,24.2,2.9,3,2,33.14
21,1,62.6,1.81,164,150,62,1.3,1072,2,27.6,3.5,4,2,19.11
42,1,45.5,1.6,166,163,64,1.31,1057,2,21.7,2.6,3,2,17.77
31,0,48.8,1.51,195,131,60,1.48,969,3,28.2,2,2,1,21.4
26,0,44.3,1.6,186,136,61,1.08,734,3,34.7,2,3,1,17.3
43,1,113.2,1.83,161,134,63,1.45,962,1,29.9,2.9,4,2,33.8
19,0,60.5,1.59,184,128,53,1.14,730,3,30.1,2.2,2,1,23.93
37,1,124.2,1.76,168,158,50,1.5,1304,4,29.3,2.8,2,1,40.1
45,1,52.4,1.85,186,161,73,1.2,956,2,25.2,2.5,3,1,15.31
24,1,54.7,1.74,160,167,53,0.84,772,1,22.9,3.6,3,1,18.07
25,1,88.1,1.95,182,131,68,1.41,1016,3,22.7,3,2,1,23.17
52,0,59.7,1.71,169,151,58,1.23,836,2,34.3,2,3,1,20.42
31,0,79.7,1.54,184,144,59,1.03,742,3,26.7,2.3,4,2,33.61
34,0,51,1.62,162,158,53,1.42,1122,1,30.8,2.4,3,2,19.43
53,1,84.2,1.76,165,137,69,1.67,1133,3,12.8,3.5,5,3,27.18
57,1,122.1,1.89,165,134,58,1.13,750,3,27.4,3.6,3,1,34.18
21,1,96.7,1.72,161,151,62,1.26,1046,2,25,2.8,3,1,32.69
19,0,73,1.79,177,125,61,0.81,506,4,27.7,1.6,3,1,22.78
23,1,114.8,1.6,182,163,60,1.47,1318,3,21.7,2.7,4,2,44.84
59,0,65.5,1.52,161,162,61,1.4,1021,1,31.2,2.1,3,2,28.35
21,0,50.3,1.52,171,154,67,1.08,832,3,32.2,2.6,3,1,21.77
46,0,61,1.71,181,153,61,1.67,1150,3,17.8,2.7,4,3,20.86
35,0,44.6,1.62,196,157,65,0.56,440,4,32.4,2,2,1,16.99
43,0,58.2,1.61,179,124,54,1.04,580,2,26.4,2.6,3,2,22.45
51,0,44.8,1.63,198,137,69,1.08,666,1,33.8,2.1,4,2,16.86
27,1,87.5,1.63,183,135,74,1.75,1299,2,12.9,3.5,5,3,32.93
53,1,51.8,1.74,179,127,61,1.23,773,2,21.3,3.7,3,2,17.11
31,0,64.4,1.7,160,144,70,1.97,1418,2,17.3,2.7,5,3,22.28
48,0,67.1,1.61,160,151,74,0.62,421,3,33.4,1.5,2,1,25.89
32,1,85.9,1.6,176,145,60,1.99,1587,4,14.5,3.5,5,3,33.55
25,0,65.4,1.77,160,141,58,0.89,627,3,27.6,2.6,3,1,20.88
31,0,61.1,1.76,189,150,67,1.81,1358,1,18.6,2.7,4,3,19.72
40,1,106.5,1.65,162,162,74,1.32,1176,4,21,3.6,4,2,39.12
57,0,64,1.52,170,129,52,1.73,1004,2,15.2,2.7,5,3,27.7
38,0,61.4,1.54,183,131,69,1.47,963,4,30.6,2.7,3,2,25.89
33,0,40.5,1.63,181,147,66,1.07,786,1,31.9,1.5,4,2,15.24
35,1,70.1,1.79,185,125,63,1.08,743,3,28,2.3,3,2,21.88
41,1,94.1,1.62,172,139,50,1.13,777,3,23.4,3.1,4,2,35.86
43,1,55.5,1.82,160,124,66,1.08,663,2,20.1,2,3,1,16.76
42,0,53.7,1.72,183,142,74,1.37,875,3,29.8,1.6,3,1,18.15
58,0,66.1,1.75,169,128,57,0.63,363,3,25.2,1.8,2,1,21.58
46,1,103.9,1.77,194,148,54,1.18,864,1,20.9,2.9,2,1,33.16
32,0,61.7,1.58,183,135,54,1.87,1262,4,16.6,2.7,5,3,24.72
18,0,52.3,1.74,187,165,58,1.2,990,3,29.4,2.2,2,1,17.27
42,0,59.5,1.74,195,141,52,1.78,1129,1,16.4,2.7,5,3,19.65
24,0,72.9,1.76,175,127,68,0.86,546,1,30.8,1.5,3,1,23.53
26,0,76.7,1.63,199,139,72,1.08,751,2,25.6,1.7,2,1,28.87
41,1,72.1,1.83,175,133,58,1.13,744,1,21.4,2.8,3,2,21.53
18,0,54.8,1.68,176,158,71,1.27,1003,2,32,2.2,4,2,19.42
25,1,105,1.88,174,156,67,1.34,1150,3,21.4,2.3,3,2,29.71
41,0,55,1.55,175,169,65,1.45,1103,2,31.4,2,4,2,22.89
28,1,81.6,1.66,174,153,50,1.09,917,1,20.5,3.5,4,2,29.61
34,0,75.6,1.6,193,130,51,0.64,416,4,29.1,2.7,2,1,29.53
25,1,81.5,1.61,170,159,63,1.93,1688,4,10.9,3.5,4,3,31.44
52,0,61.5,1.69,160,152,63,1.8,1231,3,15.5,2.7,4,3,21.53
52,1,74,1.63,174,150,50,1.26,936,3,25.7,3.7,3,2,27.85
50,0,56.4,1.59,185,163,74,1.26,924,4,34.3,2.6,3,1,22.31
22,1,102.6,1.84,163,153,65,1.25,1052,2,20.5,2.7,3,2,30.3
59,0,54.6,1.57,164,169,64,0.58,441,3,29.2,2.3,3,1,22.15
56,1,129,1.78,194,126,64,1.29,805,1,27.1,2.7,2,1,40.71
58,1,103.5,1.66,172,168,61,1.33,1106,3,24.6,3.1,3,1,37.56
45,0,59.4,1.51,169,142,65,1.15,735,2,33.1,1.9,4,2,26.05
24,0,60.1,1.79,170,165,63,1.97,1625,3,15.9,2.7,4,3,18.76
26,1,77.7,1.62,177,126,73,1.16,804,1,29.6,3,3,2,29.61
25,0,41.2,1.62,193,144,64,1.49,1073,1,28.9,2.1,4,2,15.7
29,1,58.6,1.61,198,122,72,1.2,805,1,23.4,2,3,2,22.61
51,1,109.3,1.78,182,157,64,0.54,420,2,28.7,3.3,3,1,34.5
50,1,69.6,1.96,166,139,68,0.97,667,2,25.6,2,3,1,18.12
40,0,56.2,1.79,198,153,57,1.79,1369,1,17.6,2.7,5,3,17.54
41,1,71.7,1.96,162,168,51,0.51,424,1,27.3,2.5,2,1,18.66
54,1,86,1.93,171,163,51,1.74,1404,2,12.9,3.5,5,3,23.09
52,0,79.4,1.59,166,163,59,1.39,1020,2,26.6,1.5,3,2,31.41
57,0,78.4,1.62,185,149,52,1.01,677,2,31.7,2,4,2,29.87
39,0,55.4,1.6,192,136,72,1.44,979,4,26.3,1.6,3,2,21.64
44,0,61.7,1.55,196,129,66,1.41,819,2,33.1,2.6,4,2,25.68
52,1,85.5,1.82,174,154,57,1.78,1357,1,14.9,3.5,4,3,25.81
18,1,87.6,1.93,161,139,72,1.72,1315,4,11.9,3.5,4,3,23.52
52,1,82.4,1.72,166,137,53,1.01,685,2,24.4,2.7,4,2,27.85
54,1,67,1.68,191,164,63,0.55,446,1,20.5,2.8,3,1,23.74
31,0,42.3,1.6,163,163,70,1.09,888,3,25.1,1.9,3,2,16.52
20,1,82.7,1.99,179,146,59,1.69,1357,4,14.6,3.5,5,3,20.88
18,1,92.4,1.74,195,168,50,1.41,1303,1,21.3,3.1,2,1,30.52
22,0,63.2,1.54,191,155,53,1.02,790,3,29.5,2.4,4,2,26.65
43,1,82.7,1.85,187,142,50,1.22,858,1,28.2,3.1,4,2,24.16
31,1,86.6,1.76,172,151,66,1.29,1071,2,28.9,3.3,3,2,27.96
